	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
H3K36me3-ENCFF784HLI.bed	27	10	2	8	23	8
H3K36me3-ENCFF828STE.bed	52	3	0	4	8	7
H3K4me1-ENCFF001SZH.bed	285	75	46	80	134	155
H3K4me1-ENCFF001VCQ.bed	739	40	13	23	41	43
H3K4me1-ENCFF078UPL.bed	564	32	2	26	30	30
H3K4me1-ENCFF254UHS.bed	106	61	17	42	103	81
H3K4me1-ENCFF564QIG.bed	477	44	11	36	49	59
H3K4me1-ENCFF586SUS.bed	50	51	12	27	73	72
H3K4me1-ENCFF721YQO.bed	59	57	13	36	81	76
H3K4me1-ENCFF914PQZ.bed	222	58	15	29	65	69
H3K4me2-ENCFF001SZI.bed	283	58	29	59	84	73
H3K4me2-ENCFF626TOQ.bed	200	53	14	38	63	46
H3K4me2-ENCFF627TIZ.bed	236	50	15	40	67	44
H3K4me2-ENCFF672WGZ.bed	184	38	12	30	47	32
H3K4me3-ENCFF001SZJ.bed	226	47	23	52	59	49
H3K4me3-ENCFF001VCR.bed	114	4	3	12	5	8
H3K4me3-ENCFF001XGV.bed	110	18	6	17	22	15
H3K4me3-ENCFF001XGW.bed	110	18	5	12	23	15
H3K4me3-ENCFF084PQN.bed	113	7	4	12	13	6
H3K4me3-ENCFF258PHY.bed	105	10	6	14	11	10
H3K4me3-ENCFF261REY.bed	120	9	7	14	13	10
H3K4me3-ENCFF282LNM.bed	73	7	6	13	16	8
H3K4me3-ENCFF314GKM.bed	94	32	7	25	38	24
H3K4me3-ENCFF406QTB.bed	119	30	11	26	25	18
H3K4me3-ENCFF507QPR.bed	107	32	10	28	33	24
H3K4me3-ENCFF752ALB.bed	90	9	6	12	13	7
H3K4me3-ENCFF757WPX.bed	85	9	4	10	9	10
H3K79me2-ENCFF001SZK.bed	185	27	20	38	51	61
H3K79me2-ENCFF350GQM.bed	41	6	6	12	21	15
H3K79me2-ENCFF392BQI.bed	44	8	5	13	25	19
H3K79me2-ENCFF671MKW.bed	57	8	8	18	23	18
H3K9ac-ENCFF001SZL.bed	202	41	19	50	64	65
H3K9ac-ENCFF001VCS.bed	78	20	7	17	15	9
H3K9ac-ENCFF043ACH.bed	163	53	21	48	73	47
H3K9ac-ENCFF171GKK.bed	56	23	8	23	25	23
H3K9ac-ENCFF184IVL.bed	90	13	2	15	14	5
H3K9ac-ENCFF295AER.bed	147	21	5	20	22	9
H3K9ac-ENCFF418BIN.bed	74	25	7	26	20	20
H3K9ac-ENCFF641AGA.bed	77	25	6	22	29	17
H3K9ac-ENCFF644XWD.bed	101	33	8	28	37	19
H3K9ac-ENCFF731INI.bed	85	26	8	25	24	20
H3K9ac-ENCFF890RCT.bed	104	38	9	30	46	29
H3K9me1-ENCFF001SZM.bed	437	58	51	74	88	133
H3K9me1-ENCFF374ISV.bed	0	0	0	0	1	0
H3K9me3-ENCFF001SZN.bed	984	47	93	81	103	145
H3K9me3-ENCFF323KXF.bed	23	0	1	7	1	1
H3K9me3-ENCFF388GQN.bed	162	6	4	15	9	5
H3K9me3-ENCFF582WOP.bed	23	0	2	2	1	1
H4K20me1-ENCFF001SZO.bed	368	52	49	67	90	134
H4K20me1-ENCFF189YWV.bed	3	1	1	1	7	1
H4K20me1-ENCFF363YMD.bed	1	1	1	3	5	1
H4K20me1-ENCFF417SUG.bed	4	2	0	4	2	1
HCFC1-ENCFF001VNH.bed	22	14	4	9	4	5
HCFC1-ENCFF317AIN.bed	139	26	10	26	22	15
HCFC1-ENCFF386FIZ.bed	54	18	4	16	14	17
HCFC1-ENCFF912AHN.bed	130	28	4	28	32	18
HDAC1-ENCFF001SZP.bed	274	61	43	44	82	92
HDAC1-ENCFF079BZJ.bed	157	36	29	30	53	80
HDAC1-ENCFF113GBF.bed	430	76	41	63	122	153
HDAC1-ENCFF200WFO.bed	230	37	17	28	54	40
HDAC1-ENCFF221YZK.bed	382	67	36	58	115	151
HDAC1-ENCFF445XTX.bed	164	27	14	23	42	39
HDAC1-ENCFF536DPF.bed	109	31	26	24	55	67
HDAC1-ENCFF624ZMB.bed	109	14	10	11	23	23
HDAC1-ENCFF849NGF.bed	139	31	24	14	52	65
HDAC1-ENCFF873ZUQ.bed	429	74	39	60	116	147
HDAC2-ENCFF001SZQ.bed	338	60	40	71	89	106
HDAC2-ENCFF001UKD.bed	5	9	4	2	9	12
HDAC2-ENCFF001UKE.bed	2	3	2	0	3	9
HDAC2-ENCFF074FFL.bed	369	65	28	74	105	152
HDAC2-ENCFF233XEO.bed	150	21	9	11	39	28
HDAC2-ENCFF680CDC.bed	140	28	7	23	40	30
HDAC2-ENCFF810MGC.bed	363	63	32	61	109	132
HDAC2-ENCFF888AZU.bed	370	72	38	64	97	138
HDAC2-ENCFF930KIS.bed	159	24	9	17	28	17
HDAC6-ENCFF001SZR.bed	462	53	63	64	90	108
HDAC6-ENCFF322OPC.bed	148	12	3	10	20	8
HDAC6-ENCFF676RZD.bed	138	10	3	9	15	12
HDAC6-ENCFF996VOF.bed	182	7	10	13	16	14
HDGF-ENCFF264KUV.bed	384	62	34	48	100	106
HDGF-ENCFF328KFN.bed	274	61	28	36	98	114
HDGF-ENCFF385LTD.bed	341	61	32	41	83	100
HDGF-ENCFF409HKO.bed	391	64	24	41	102	110
HDGF-ENCFF415ZVO.bed	260	64	28	41	105	122
HDGF-ENCFF701JMF.bed	280	63	30	39	111	105
HES1-ENCFF222PPL.bed	286	68	33	44	103	96
HES1-ENCFF786MKH.bed	280	57	31	57	99	110
HES1-ENCFF860KMP.bed	270	56	34	53	91	104
HLTF-ENCFF206YAY.bed	455	39	18	42	73	82
HLTF-ENCFF650AVU.bed	343	53	19	40	74	81
HLTF-ENCFF717PAZ.bed	421	42	26	50	79	87
HMBOX1-ENCFF037FVZ.bed	130	44	43	56	72	101
HMBOX1-ENCFF052IOC.bed	199	45	44	54	76	105
HMBOX1-ENCFF514IDT.bed	102	33	43	44	56	76
HMGN3-ENCFF001VNI.bed	66	2	3	4	4	5
HNRNPL-ENCFF013REF.bed	140	16	10	11	18	21
HNRNPL-ENCFF501SMZ.bed	221	20	13	15	24	19
HNRNPL-ENCFF838LKB.bed	177	13	7	12	21	13
HNRNPUL1-ENCFF036VGX.bed	132	21	25	31	46	22
HNRNPUL1-ENCFF648RFW.bed	124	14	13	43	40	21
HNRNPUL1-ENCFF788AWO.bed	115	28	20	41	48	29
IKZF1-ENCFF038VEX.bed	172	64	41	67	123	152
IKZF1-ENCFF165OLG.bed	241	62	30	64	121	158
IKZF1-ENCFF320JKZ.bed	227	65	38	65	129	150
IKZF1-ENCFF519QZC.bed	216	69	33	69	134	162
IKZF1-ENCFF669ACI.bed	165	62	41	59	122	148
IKZF1-ENCFF723ESB.bed	183	66	35	56	125	151
IRF1-ENCFF001VNK.bed	1	1	0	0	0	0
IRF1-ENCFF001VNL.bed	29	20	8	16	13	9
IRF1-ENCFF001VNM.bed	39	25	10	16	24	11
IRF1-ENCFF074NOU.bed	131	28	8	18	25	19
IRF1-ENCFF370WUU.bed	38	20	9	13	12	7
IRF1-ENCFF390PTY.bed	54	17	9	9	20	9
IRF1-ENCFF467GRI.bed	38	10	8	3	12	7
IRF1-ENCFF517QNU.bed	49	10	5	8	8	8
IRF1-ENCFF846FXF.bed	41	17	5	16	10	12
IRF1-ENCFF998DOG.bed	130	19	9	17	21	20
IRF2-ENCFF063GMG.bed	97	34	19	23	29	17
IRF2-ENCFF135VWG.bed	78	26	12	21	36	21
IRF2-ENCFF770GWM.bed	118	23	10	15	29	17
JUN-ENCFF001VMK.bed	16	25	0	10	10	6
JUN-ENCFF001VML.bed	0	8	0	0	0	0
JUN-ENCFF001VMM.bed	0	12	0	0	1	0
JUN-ENCFF001VMN.bed	0	10	0	1	1	0
JUN-ENCFF001VMO.bed	18	24	7	7	9	10
JUN-ENCFF001VMP.bed	2	15	0	1	1	0
JUN-ENCFF041POZ.bed	54	19	2	5	10	10
JUN-ENCFF052OWI.bed	28	14	6	3	5	11
JUN-ENCFF063HEH.bed	47	14	4	5	9	8
JUN-ENCFF076VIZ.bed	45	21	5	14	15	17
JUN-ENCFF257FNC.bed	35	17	4	7	12	8
JUN-ENCFF394RSM.bed	21	15	2	9	5	2
JUN-ENCFF436KCV.bed	52	28	7	14	14	19
JUN-ENCFF605EZB.bed	73	21	5	12	12	10
JUN-ENCFF646NDI.bed	21	18	3	6	6	12
JUN-ENCFF711IWR.bed	30	18	2	9	11	14
JUN-ENCFF767GKW.bed	32	23	4	6	7	10
JUN-ENCFF829NXG.bed	31	15	3	5	4	6
JUNB-ENCFF127XOZ.bed	234	38	23	27	49	51
JUNB-ENCFF325KGM.bed	175	37	20	34	54	57
JUNB-ENCFF997SXB.bed	170	41	20	27	54	43
JUND-ENCFF001VNP.bed	49	42	14	29	37	33
JUND-ENCFF159IRT.bed	117	46	11	22	38	26
JUND-ENCFF367HPL.bed	80	43	10	33	44	34
JUND-ENCFF844LUC.bed	79	42	8	31	44	29
KAT2B-ENCFF001SZW.bed	593	55	61	72	111	146
KAT8-ENCFF023FAR.bed	223	42	27	31	67	72
KAT8-ENCFF671OTI.bed	189	42	33	32	56	74
KAT8-ENCFF763LNG.bed	196	40	27	43	55	81
KDM1A-ENCFF001SZS.bed	266	47	38	62	92	97
KDM1A-ENCFF331TXU.bed	246	43	26	35	82	110
KDM1A-ENCFF490XLD.bed	287	58	46	40	110	136
KDM1A-ENCFF499UMV.bed	215	48	30	49	99	127
KDM1A-ENCFF770MXX.bed	252	50	32	55	91	125
KDM1A-ENCFF797FYJ.bed	249	44	37	48	100	126
KDM1A-ENCFF799KLQ.bed	282	50	35	54	86	121
KDM4B-ENCFF274QRN.bed	621	52	30	37	69	44
KDM4B-ENCFF321EBZ.bed	533	47	30	49	65	48
KDM4B-ENCFF653KSG.bed	271	41	24	26	38	29
KDM5B-ENCFF001SZY.bed	311	49	27	62	62	69
KDM5B-ENCFF106WXI.bed	79	12	14	17	24	25
KDM5B-ENCFF629JIS.bed	297	36	21	30	53	39
KDM5B-ENCFF758VGA.bed	237	35	22	27	47	38
KLF16-ENCFF077SAE.bed	152	35	21	35	63	52
KLF16-ENCFF373FDW.bed	84	33	24	34	61	53
KLF16-ENCFF939WYL.bed	70	31	32	33	52	40
KMT2B-ENCFF024ZDC.bed	85	16	13	17	20	19
KMT2B-ENCFF142DIA.bed	75	7	7	7	17	11
KMT2B-ENCFF693DIG.bed	62	9	13	9	21	13
L3MBTL2-ENCFF471MPD.bed	573	80	47	74	130	144
L3MBTL2-ENCFF706LNT.bed	684	77	52	82	127	167
L3MBTL2-ENCFF875ISD.bed	728	82	42	85	143	174
LARP7-ENCFF125FXN.bed	317	36	15	26	66	56
LARP7-ENCFF245HDG.bed	295	49	22	28	59	63
LARP7-ENCFF596AQS.bed	281	53	23	33	75	65
LEF1-ENCFF404ZDG.bed	326	88	29	34	58	73
LEF1-ENCFF421AHE.bed	399	91	27	49	97	122
LEF1-ENCFF506NOD.bed	362	95	37	56	101	123
LEF1-ENCFF700RYG.bed	243	68	23	25	54	66
LEF1-ENCFF804WBF.bed	378	84	22	36	67	87
LEF1-ENCFF857NTV.bed	293	79	33	58	107	106
MAFF-ENCFF001VNQ.bed	20	49	3	6	8	9
MAFK-ENCFF001VNR.bed	30	48	4	11	12	9
MAFK-ENCFF072BMK.bed	85	44	9	15	22	13
MAFK-ENCFF660EKS.bed	84	51	10	23	29	19
MAFK-ENCFF887IBL.bed	83	52	7	17	33	23
MAX-ENCFF001UKH.bed	30	26	2	14	17	41
MAX-ENCFF001UKI.bed	106	37	6	29	44	73
MAX-ENCFF001VNS.bed	40	34	6	15	21	22
MAX-ENCFF001VNT.bed	0	2	0	0	0	2
MAZ-ENCFF001VNU.bed	55	31	3	18	24	18
MBD2-ENCFF649MHK.bed	458	48	21	40	67	52
MBD2-ENCFF935RWY.bed	522	50	31	32	70	55
MBD2-ENCFF939VGO.bed	252	28	17	35	53	47
MCM3-ENCFF260MCD.bed	677	15	20	16	56	57
MCM3-ENCFF262RPX.bed	683	12	24	22	68	69
MCM3-ENCFF530ETK.bed	728	13	20	17	65	53
MCM5-ENCFF397VOW.bed	492	22	28	20	67	80
MCM5-ENCFF415ATH.bed	511	35	29	22	63	66
MCM5-ENCFF508CQR.bed	539	20	20	16	75	72
MCM7-ENCFF010VLV.bed	486	34	27	28	70	68
