	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
JUN-ENCFF605EZB.bed	393	17	24	19	49	80
JUN-ENCFF646NDI.bed	198	11	13	3	26	36
JUN-ENCFF711IWR.bed	236	10	12	3	17	40
JUN-ENCFF767GKW.bed	379	15	17	6	47	70
JUN-ENCFF829NXG.bed	246	9	16	10	28	38
JUNB-ENCFF127XOZ.bed	423	20	28	13	38	63
JUNB-ENCFF325KGM.bed	380	20	35	11	45	60
JUNB-ENCFF997SXB.bed	401	13	25	12	36	60
JUND-ENCFF001VNP.bed	139	7	8	3	18	25
JUND-ENCFF159IRT.bed	394	18	17	13	44	67
JUND-ENCFF367HPL.bed	338	15	23	7	48	69
JUND-ENCFF844LUC.bed	360	17	23	10	45	61
KAT2B-ENCFF001SZW.bed	715	41	99	67	102	181
KAT8-ENCFF023FAR.bed	410	25	22	20	50	73
KAT8-ENCFF671OTI.bed	396	21	21	17	46	65
KAT8-ENCFF763LNG.bed	397	26	24	21	42	68
KDM1A-ENCFF001SZS.bed	361	24	45	29	53	71
KDM1A-ENCFF331TXU.bed	429	20	24	19	48	63
KDM1A-ENCFF490XLD.bed	381	20	22	16	37	68
KDM1A-ENCFF499UMV.bed	413	22	27	16	46	71
KDM1A-ENCFF770MXX.bed	370	25	27	16	50	66
KDM1A-ENCFF797FYJ.bed	368	24	25	16	49	65
KDM1A-ENCFF799KLQ.bed	373	24	27	21	49	67
KDM4B-ENCFF274QRN.bed	382	16	32	13	44	73
KDM4B-ENCFF321EBZ.bed	367	20	30	12	40	65
KDM4B-ENCFF653KSG.bed	387	22	22	22	51	64
KDM5B-ENCFF001SZY.bed	365	22	36	32	45	78
KDM5B-ENCFF106WXI.bed	393	22	22	18	40	81
KDM5B-ENCFF629JIS.bed	389	20	28	18	41	85
KDM5B-ENCFF758VGA.bed	396	23	25	16	44	94
KLF16-ENCFF077SAE.bed	394	18	20	14	35	79
KLF16-ENCFF373FDW.bed	418	21	23	17	38	68
KLF16-ENCFF939WYL.bed	415	21	21	18	44	71
KMT2B-ENCFF024ZDC.bed	424	21	31	21	43	72
KMT2B-ENCFF142DIA.bed	386	20	23	5	36	65
KMT2B-ENCFF693DIG.bed	429	21	20	13	41	76
L3MBTL2-ENCFF471MPD.bed	365	15	26	21	42	68
L3MBTL2-ENCFF706LNT.bed	380	14	23	18	42	72
L3MBTL2-ENCFF875ISD.bed	381	14	32	15	43	70
LARP7-ENCFF125FXN.bed	364	18	27	25	44	66
LARP7-ENCFF245HDG.bed	369	18	23	26	44	63
LARP7-ENCFF596AQS.bed	371	14	24	23	45	70
LEF1-ENCFF404ZDG.bed	395	22	20	19	37	65
LEF1-ENCFF421AHE.bed	381	14	28	20	50	78
LEF1-ENCFF506NOD.bed	399	19	24	20	56	77
LEF1-ENCFF700RYG.bed	381	15	29	20	32	61
LEF1-ENCFF804WBF.bed	400	20	25	17	43	71
LEF1-ENCFF857NTV.bed	388	21	30	15	49	69
MAFF-ENCFF001VNQ.bed	88	6	3	5	13	15
MAFK-ENCFF001VNR.bed	100	5	6	5	13	19
MAFK-ENCFF072BMK.bed	356	14	21	11	42	65
MAFK-ENCFF660EKS.bed	373	14	22	11	46	66
MAFK-ENCFF887IBL.bed	360	18	24	17	45	67
MAX-ENCFF001UKH.bed	48	4	6	1	9	9
MAX-ENCFF001UKI.bed	93	6	7	2	11	18
MAX-ENCFF001VNS.bed	71	4	3	2	11	12
MAX-ENCFF001VNT.bed	1	0	0	0	1	1
MAZ-ENCFF001VNU.bed	107	6	8	3	15	19
MBD2-ENCFF649MHK.bed	397	17	25	9	37	62
MBD2-ENCFF935RWY.bed	357	12	21	8	39	83
MBD2-ENCFF939VGO.bed	413	20	33	16	48	77
MCM3-ENCFF260MCD.bed	373	11	23	22	42	59
MCM3-ENCFF262RPX.bed	370	24	31	21	34	64
MCM3-ENCFF530ETK.bed	369	16	24	14	43	66
MCM5-ENCFF397VOW.bed	404	19	38	14	33	75
MCM5-ENCFF415ATH.bed	394	15	25	20	44	82
MCM5-ENCFF508CQR.bed	387	16	29	15	43	83
MCM7-ENCFF010VLV.bed	400	19	23	21	40	61
